zip,county,state
80112,ARAPAHOE,CO
80112,ARAPAHOE,CO
80113,ARAPAHOE,CO
80113,ARAPAHOE,CO
80113,ARAPAHOE,CO
80113,ARAPAHOE,CO
80116,DOUGLAS,CO
80117,ELBERT,CO
80118,DOUGLAS,CO
80120,ARAPAHOE,CO
80121,ARAPAHOE,CO
80121,ARAPAHOE,CO
80121,ARAPAHOE,CO
80121,ARAPAHOE,CO
80121,ARAPAHOE,CO
80121,ARAPAHOE,CO
80121,ARAPAHOE,CO
80121,ARAPAHOE,CO
80122,ARAPAHOE,CO
80122,ARAPAHOE,CO
80123,JEFFERSON,CO
80123,JEFFERSON,CO
80123,JEFFERSON,CO
80123,JEFFERSON,CO
80123,JEFFERSON,CO
80123,JEFFERSON,CO
80123,JEFFERSON,CO
80124,DOUGLAS,CO
80124,DOUGLAS,CO
80124,DOUGLAS,CO
80125,DOUGLAS,CO
80125,DOUGLAS,CO
80126,DOUGLAS,CO
80126,DOUGLAS,CO
80126,DOUGLAS,CO
80127,JEFFERSON,CO
80127,JEFFERSON,CO
80128,JEFFERSON,CO
80129,DOUGLAS,CO
80129,DOUGLAS,CO
80129,DOUGLAS,CO
80130,DOUGLAS,CO
80130,DOUGLAS,CO
80130,DOUGLAS,CO
80131,DOUGLAS,CO
80132,EL PASO,CO
80132,EL PASO,CO
80133,EL PASO,CO
80134,DOUGLAS,CO
80134,DOUGLAS,CO
80135,DOUGLAS,CO
80135,DOUGLAS,CO
80136,ADAMS,CO
80137,ADAMS,CO
80138,DOUGLAS,CO
80150,ARAPAHOE,CO
80151,ARAPAHOE,CO
80155,ARAPAHOE,CO
80155,ARAPAHOE,CO
80155,ARAPAHOE,CO
80160,ARAPAHOE,CO
80161,ARAPAHOE,CO
80161,ARAPAHOE,CO
80162,JEFFERSON,CO
80163,DOUGLAS,CO
80163,DOUGLAS,CO
80163,DOUGLAS,CO
80165,ARAPAHOE,CO
80165,ARAPAHOE,CO
80166,ARAPAHOE,CO
80166,ARAPAHOE,CO
80201,DENVER,CO
80202,DENVER,CO
80203,DENVER,CO
80204,DENVER,CO
80205,DENVER,CO
80206,DENVER,CO
80207,DENVER,CO
80208,DENVER,CO
80208,DENVER,CO
80209,DENVER,CO
80210,DENVER,CO
80211,DENVER,CO
80212,DENVER,CO
80212,DENVER,CO
80212,DENVER,CO
80214,JEFFERSON,CO
80214,JEFFERSON,CO
80214,JEFFERSON,CO
80214,JEFFERSON,CO
80215,JEFFERSON,CO
80215,JEFFERSON,CO
80215,JEFFERSON,CO
80216,DENVER,CO
80216,DENVER,CO
80217,DENVER,CO
80218,DENVER,CO
80219,DENVER,CO
80220,DENVER,CO
80221,ADAMS,CO
80221,ADAMS,CO
80221,ADAMS,CO
80221,ADAMS,CO
80221,ADAMS,CO
80222,DENVER,CO
80223,DENVER,CO
80224,DENVER,CO
80225,JEFFERSON,CO
80225,JEFFERSON,CO
80225,JEFFERSON,CO
80226,JEFFERSON,CO
80226,JEFFERSON,CO
80227,JEFFERSON,CO
80227,JEFFERSON,CO
80228,JEFFERSON,CO
80228,JEFFERSON,CO
80229,ADAMS,CO
80229,ADAMS,CO
80229,ADAMS,CO
80230,DENVER,CO
80230,DENVER,CO
80230,DENVER,CO
80231,DENVER,CO
80232,JEFFERSON,CO
80232,JEFFERSON,CO
80233,ADAMS,CO
80233,ADAMS,CO
80233,ADAMS,CO
80233,ADAMS,CO
80234,ADAMS,CO
80234,ADAMS,CO
80234,ADAMS,CO
80234,ADAMS,CO
80234,ADAMS,CO
80235,JEFFERSON,CO
80235,JEFFERSON,CO
80236,DENVER,CO
80236,DENVER,CO
80236,DENVER,CO
80236,DENVER,CO
80237,DENVER,CO
80238,DENVER,CO
80238,DENVER,CO
80239,DENVER,CO
80241,ADAMS,CO
80241,ADAMS,CO
80241,ADAMS,CO
80241,ADAMS,CO
80241,ADAMS,CO
80243,DENVER,CO
80243,DENVER,CO
80246,DENVER,CO
80246,DENVER,CO
80247,ARAPAHOE,CO
80247,ARAPAHOE,CO
80248,DENVER,CO
80249,DENVER,CO
80250,DENVER,CO
80256,DENVER,CO
80256,DENVER,CO
80257,DENVER,CO
80257,DENVER,CO
80259,DENVER,CO
80259,DENVER,CO
80260,ADAMS,CO
80260,ADAMS,CO
80260,ADAMS,CO
80260,ADAMS,CO
80260,ADAMS,CO
80260,ADAMS,CO
80261,DENVER,CO
80261,DENVER,CO
80263,DENVER,CO
80263,DENVER,CO
80264,DENVER,CO
80265,DENVER,CO
80266,DENVER,CO
80271,DENVER,CO
80271,DENVER,CO
80273,DENVER,CO
80273,DENVER,CO
80274,DENVER,CO
80274,DENVER,CO
80281,DENVER,CO
80281,DENVER,CO
80290,DENVER,CO
80291,DENVER,CO
80291,DENVER,CO
80293,DENVER,CO
80294,DENVER,CO
80294,DENVER,CO
80299,DENVER,CO
80299,DENVER,CO
80301,BOULDER,CO
80302,BOULDER,CO
80303,BOULDER,CO
80304,BOULDER,CO
80305,BOULDER,CO
80306,BOULDER,CO
80307,BOULDER,CO
80308,BOULDER,CO
80309,BOULDER,CO
80309,BOULDER,CO
80310,BOULDER,CO
80310,BOULDER,CO
80314,BOULDER,CO
80314,BOULDER,CO
80401,JEFFERSON,CO
80401,JEFFERSON,CO
80401,JEFFERSON,CO
80402,JEFFERSON,CO
80403,JEFFERSON,CO
80403,JEFFERSON,CO
80403,JEFFERSON,CO
80419,JEFFERSON,CO
80419,JEFFERSON,CO
80420,PARK,CO
80421,PARK,CO
80422,GILPIN,CO
80422,GILPIN,CO
80423,EAGLE,CO
80424,SUMMIT,CO
80424,SUMMIT,CO
80425,JEFFERSON,CO
80426,EAGLE,CO
80427,GILPIN,CO
80428,ROUTT,CO
80429,LAKE,CO
80429,LAKE,CO
80430,JACKSON,CO
80430,JACKSON,CO
80432,PARK,CO
80432,PARK,CO
80433,JEFFERSON,CO
80433,JEFFERSON,CO
80433,JEFFERSON,CO
80434,JACKSON,CO
80435,SUMMIT,CO
80435,SUMMIT,CO
80435,SUMMIT,CO
80436,CLEAR CREEK,CO
80437,JEFFERSON,CO
80438,CLEAR CREEK,CO
80439,JEFFERSON,CO
80439,JEFFERSON,CO
80440,PARK,CO
80442,GRAND,CO
80443,SUMMIT,CO
80443,SUMMIT,CO
80444,CLEAR CREEK,CO
80446,GRAND,CO
80446,GRAND,CO
80447,GRAND,CO
80448,PARK,CO
80449,PARK,CO
80451,GRAND,CO
80451,GRAND,CO
80452,CLEAR CREEK,CO
80453,JEFFERSON,CO
80454,JEFFERSON,CO
80455,BOULDER,CO
80456,PARK,CO
80456,PARK,CO
80456,PARK,CO
80457,JEFFERSON,CO
80459,GRAND,CO
80461,LAKE,CO
80463,EAGLE,CO
80465,JEFFERSON,CO
80466,BOULDER,CO
80467,ROUTT,CO
80468,GRAND,CO
80469,ROUTT,CO
80470,JEFFERSON,CO
80471,BOULDER,CO
80473,JACKSON,CO
80474,GILPIN,CO
80475,PARK,CO
80476,CLEAR CREEK,CO
80477,ROUTT,CO
80477,ROUTT,CO
80477,ROUTT,CO
80478,GRAND,CO
80479,ROUTT,CO
80480,JACKSON,CO
80481,BOULDER,CO
80482,GRAND,CO
80483,ROUTT,CO
80487,ROUTT,CO
80487,ROUTT,CO
80487,ROUTT,CO
80488,ROUTT,CO
80488,ROUTT,CO
80488,ROUTT,CO
80497,SUMMIT,CO
80498,SUMMIT,CO
80498,SUMMIT,CO
80501,BOULDER,CO
80502,BOULDER,CO
80503,BOULDER,CO
80503,BOULDER,CO
80504,WELD,CO
80504,WELD,CO
80504,WELD,CO
80504,WELD,CO
80504,WELD,CO
80510,LARIMER,CO
80511,LARIMER,CO
80512,LARIMER,CO
80513,LARIMER,CO
80514,WELD,CO
80514,WELD,CO
80515,LARIMER,CO
80516,BOULDER,CO
80516,BOULDER,CO
80517,LARIMER,CO
80517,LARIMER,CO
80520,WELD,CO
80521,LARIMER,CO
80521,LARIMER,CO
80522,LARIMER,CO
80522,LARIMER,CO
80523,LARIMER,CO
80523,LARIMER,CO
80524,LARIMER,CO
80524,LARIMER,CO
80524,LARIMER,CO
80525,LARIMER,CO
80525,LARIMER,CO
80525,LARIMER,CO
80526,LARIMER,CO
80526,LARIMER,CO
80527,LARIMER,CO
80527,LARIMER,CO
80528,LARIMER,CO
80528,LARIMER,CO
80530,WELD,CO
80532,LARIMER,CO
80533,BOULDER,CO
80534,WELD,CO
80534,WELD,CO
80535,LARIMER,CO
80536,LARIMER,CO
80536,LARIMER,CO
80537,LARIMER,CO
80538,LARIMER,CO
80539,LARIMER,CO
80540,BOULDER,CO
80541,LARIMER,CO
80542,WELD,CO
80543,WELD,CO
80544,BOULDER,CO
80545,LARIMER,CO
80545,LARIMER,CO
80546,WELD,CO
80547,LARIMER,CO
80549,LARIMER,CO
80550,WELD,CO
80550,WELD,CO
80551,WELD,CO
80551,WELD,CO
80553,LARIMER,CO
80553,LARIMER,CO
80553,LARIMER,CO
80601,ADAMS,CO
80602,ADAMS,CO
80602,ADAMS,CO
80603,WELD,CO
80603,WELD,CO
80603,WELD,CO
80610,WELD,CO
80610,WELD,CO
80611,WELD,CO
80612,WELD,CO
80614,ADAMS,CO
80615,WELD,CO
80615,WELD,CO
80620,WELD,CO
80621,WELD,CO
80621,WELD,CO
80621,WELD,CO
80622,WELD,CO
80623,WELD,CO
80624,WELD,CO
80631,WELD,CO
80631,WELD,CO
80632,WELD,CO
80633,WELD,CO
80634,WELD,CO
80634,WELD,CO
80638,WELD,CO
80638,WELD,CO
80639,WELD,CO
80639,WELD,CO
80640,ADAMS,CO
80640,ADAMS,CO
80640,ADAMS,CO
80642,WELD,CO
80643,WELD,CO
80644,WELD,CO
80645,WELD,CO
80645,WELD,CO
80646,WELD,CO
80648,WELD,CO
80649,MORGAN,CO
80650,WELD,CO
80651,WELD,CO
80652,WELD,CO
80653,MORGAN,CO
80654,MORGAN,CO
80654,MORGAN,CO
80701,MORGAN,CO
80705,MORGAN,CO
80705,MORGAN,CO
80705,MORGAN,CO
80720,WASHINGTON,CO
80721,PHILLIPS,CO
80722,LOGAN,CO
80723,MORGAN,CO
80726,LOGAN,CO
80727,YUMA,CO
80728,LOGAN,CO
80729,WELD,CO
80731,PHILLIPS,CO
80732,WELD,CO
80733,MORGAN,CO
80734,PHILLIPS,CO
80735,YUMA,CO
80735,YUMA,CO
80736,LOGAN,CO
80737,SEDGWICK,CO
80740,WASHINGTON,CO
80741,LOGAN,CO
80741,LOGAN,CO
80742,WELD,CO
80742,WELD,CO
80743,WASHINGTON,CO
80744,SEDGWICK,CO
80745,LOGAN,CO
80746,PHILLIPS,CO
80747,LOGAN,CO
80749,SEDGWICK,CO
80750,MORGAN,CO
80751,LOGAN,CO
80754,WELD,CO
80755,YUMA,CO
80757,WASHINGTON,CO
80757,WASHINGTON,CO
80758,YUMA,CO
80758,YUMA,CO
80759,YUMA,CO
80801,WASHINGTON,CO
80801,WASHINGTON,CO
80802,CHEYENNE,CO
80804,LINCOLN,CO
80805,KIT CARSON,CO
80807,KIT CARSON,CO
80808,EL PASO,CO
80808,EL PASO,CO
80809,EL PASO,CO
80809,EL PASO,CO
80810,CHEYENNE,CO
80810,CHEYENNE,CO
80810,CHEYENNE,CO
80812,WASHINGTON,CO
80813,TELLER,CO
80814,TELLER,CO
80815,KIT CARSON,CO
80816,TELLER,CO
80816,TELLER,CO
80816,TELLER,CO
80817,EL PASO,CO
80818,LINCOLN,CO
80818,LINCOLN,CO
80819,EL PASO,CO
80819,EL PASO,CO
80819,EL PASO,CO
80820,PARK,CO
80821,LINCOLN,CO
80821,LINCOLN,CO
80821,LINCOLN,CO
80822,YUMA,CO
80823,LINCOLN,CO
80824,YUMA,CO
80825,CHEYENNE,CO
80826,LINCOLN,CO
80826,LINCOLN,CO
80826,LINCOLN,CO
80826,LINCOLN,CO
80827,PARK,CO
80827,PARK,CO
80828,LINCOLN,CO
80829,EL PASO,CO
80829,EL PASO,CO
80829,EL PASO,CO
80830,ELBERT,CO
80831,EL PASO,CO
80831,EL PASO,CO
80832,EL PASO,CO
80833,EL PASO,CO
80834,KIT CARSON,CO
80835,ELBERT,CO
80836,KIT CARSON,CO
80840,EL PASO,CO
80840,EL PASO,CO
80840,EL PASO,CO
80841,EL PASO,CO
80841,EL PASO,CO
80860,TELLER,CO
80860,TELLER,CO
80860,TELLER,CO
80861,KIT CARSON,CO
80862,CHEYENNE,CO
80862,CHEYENNE,CO
80863,TELLER,CO
80863,TELLER,CO
80863,TELLER,CO
80864,EL PASO,CO
80864,EL PASO,CO
80864,EL PASO,CO
80866,TELLER,CO
80901,EL PASO,CO
80901,EL PASO,CO
80901,EL PASO,CO
80901,EL PASO,CO
80902,EL PASO,CO
80902,EL PASO,CO
80902,EL PASO,CO
80902,EL PASO,CO
80902,EL PASO,CO
80902,EL PASO,CO
80903,EL PASO,CO
80903,EL PASO,CO
80903,EL PASO,CO
80903,EL PASO,CO
80904,EL PASO,CO
80904,EL PASO,CO
80904,EL PASO,CO
80904,EL PASO,CO
80905,EL PASO,CO
80905,EL PASO,CO
80905,EL PASO,CO
80905,EL PASO,CO
80906,EL PASO,CO
80906,EL PASO,CO
80906,EL PASO,CO
80906,EL PASO,CO
80906,EL PASO,CO
80907,EL PASO,CO
80907,EL PASO,CO
80907,EL PASO,CO
80907,EL PASO,CO
80908,EL PASO,CO
80908,EL PASO,CO
80908,EL PASO,CO
80908,EL PASO,CO
80908,EL PASO,CO
80909,EL PASO,CO
80909,EL PASO,CO
80909,EL PASO,CO
80909,EL PASO,CO
80910,EL PASO,CO
80910,EL PASO,CO
80910,EL PASO,CO
80910,EL PASO,CO
80911,EL PASO,CO
80911,EL PASO,CO
80911,EL PASO,CO
80911,EL PASO,CO
80911,EL PASO,CO
80911,EL PASO,CO
80912,EL PASO,CO
80912,EL PASO,CO
80912,EL PASO,CO
80912,EL PASO,CO
80912,EL PASO,CO
80912,EL PASO,CO
80912,EL PASO,CO
80912,EL PASO,CO
80912,EL PASO,CO
80912,EL PASO,CO
80912,EL PASO,CO
80913,EL PASO,CO
80913,EL PASO,CO
80913,EL PASO,CO
80913,EL PASO,CO
80913,EL PASO,CO
80913,EL PASO,CO
80914,EL PASO,CO
80914,EL PASO,CO
80914,EL PASO,CO
80914,EL PASO,CO
80914,EL PASO,CO
80914,EL PASO,CO
80914,EL PASO,CO
80914,EL PASO,CO
80914,EL PASO,CO
80914,EL PASO,CO
80914,EL PASO,CO
80915,EL PASO,CO
80915,EL PASO,CO
80915,EL PASO,CO
80915,EL PASO,CO
80916,EL PASO,CO
80916,EL PASO,CO
80916,EL PASO,CO
80916,EL PASO,CO
80917,EL PASO,CO
80917,EL PASO,CO
80917,EL PASO,CO
80917,EL PASO,CO
80918,EL PASO,CO
80918,EL PASO,CO
80918,EL PASO,CO
80918,EL PASO,CO
80919,EL PASO,CO
80919,EL PASO,CO
80919,EL PASO,CO
80919,EL PASO,CO
80919,EL PASO,CO
80920,EL PASO,CO
80920,EL PASO,CO
80920,EL PASO,CO
80920,EL PASO,CO
80921,EL PASO,CO
80921,EL PASO,CO
80921,EL PASO,CO
80921,EL PASO,CO
80922,EL PASO,CO
80922,EL PASO,CO
80922,EL PASO,CO
80922,EL PASO,CO
80923,EL PASO,CO
80923,EL PASO,CO
80923,EL PASO,CO
80923,EL PASO,CO
80924,EL PASO,CO
80924,EL PASO,CO
80924,EL PASO,CO
80924,EL PASO,CO
80925,EL PASO,CO
80925,EL PASO,CO
80925,EL PASO,CO
80925,EL PASO,CO
80925,EL PASO,CO
80926,EL PASO,CO
80926,EL PASO,CO
80926,EL PASO,CO
80926,EL PASO,CO
80927,EL PASO,CO
80927,EL PASO,CO
80927,EL PASO,CO
80927,EL PASO,CO
80928,EL PASO,CO
80928,EL PASO,CO
80928,EL PASO,CO
80928,EL PASO,CO
80928,EL PASO,CO
80929,EL PASO,CO
80929,EL PASO,CO
80929,EL PASO,CO
80929,EL PASO,CO
80929,EL PASO,CO
80930,EL PASO,CO
80930,EL PASO,CO
80930,EL PASO,CO
80930,EL PASO,CO
80930,EL PASO,CO
80931,EL PASO,CO
80931,EL PASO,CO
80931,EL PASO,CO
80931,EL PASO,CO
80931,EL PASO,CO
80932,EL PASO,CO
80932,EL PASO,CO
80932,EL PASO,CO
80932,EL PASO,CO
80933,EL PASO,CO
80933,EL PASO,CO
80933,EL PASO,CO
80933,EL PASO,CO
80934,EL PASO,CO
80934,EL PASO,CO
80934,EL PASO,CO
80934,EL PASO,CO
80935,EL PASO,CO
80935,EL PASO,CO
80935,EL PASO,CO
80935,EL PASO,CO
80936,EL PASO,CO
80936,EL PASO,CO
80936,EL PASO,CO
80936,EL PASO,CO
80937,EL PASO,CO
80937,EL PASO,CO
80937,EL PASO,CO
80937,EL PASO,CO
80938,EL PASO,CO
80938,EL PASO,CO
80938,EL PASO,CO
80938,EL PASO,CO
80939,EL PASO,CO
80939,EL PASO,CO
80939,EL PASO,CO
80939,EL PASO,CO
80941,EL PASO,CO
80941,EL PASO,CO
80941,EL PASO,CO
80941,EL PASO,CO
80942,EL PASO,CO
80942,EL PASO,CO
80942,EL PASO,CO
80942,EL PASO,CO
80946,EL PASO,CO
80946,EL PASO,CO
80946,EL PASO,CO
80946,EL PASO,CO
80947,EL PASO,CO
80947,EL PASO,CO
80947,EL PASO,CO
80947,EL PASO,CO
80949,EL PASO,CO
80949,EL PASO,CO
80949,EL PASO,CO
80949,EL PASO,CO
80950,EL PASO,CO
80950,EL PASO,CO
80950,EL PASO,CO
80950,EL PASO,CO
80951,EL PASO,CO
80951,EL PASO,CO
80951,EL PASO,CO
80951,EL PASO,CO
80960,EL PASO,CO
80960,EL PASO,CO
80960,EL PASO,CO
80960,EL PASO,CO
80962,EL PASO,CO
80962,EL PASO,CO
80962,EL PASO,CO
80970,EL PASO,CO
80970,EL PASO,CO
80970,EL PASO,CO
80977,EL PASO,CO
80977,EL PASO,CO
80977,EL PASO,CO
80977,EL PASO,CO
80995,EL PASO,CO
80995,EL PASO,CO
80995,EL PASO,CO
80995,EL PASO,CO
80997,EL PASO,CO
80997,EL PASO,CO
80997,EL PASO,CO
80997,EL PASO,CO
81001,PUEBLO,CO
81001,PUEBLO,CO
81001,PUEBLO,CO
81001,PUEBLO,CO
81001,PUEBLO,CO
81001,PUEBLO,CO
81002,PUEBLO,CO
81003,PUEBLO,CO
81004,PUEBLO,CO
81004,PUEBLO,CO
81005,PUEBLO,CO
81006,PUEBLO,CO
81006,PUEBLO,CO
81006,PUEBLO,CO
81006,PUEBLO,CO
81007,PUEBLO,CO
81007,PUEBLO,CO
81008,PUEBLO,CO
81008,PUEBLO,CO
81009,PUEBLO,CO
81009,PUEBLO,CO
81010,PUEBLO,CO
81010,PUEBLO,CO
81011,PUEBLO,CO
81011,PUEBLO,CO
81012,PUEBLO,CO
81012,PUEBLO,CO
81019,PUEBLO,CO
81019,PUEBLO,CO
81020,LAS ANIMAS,CO
81021,KIOWA,CO
81022,PUEBLO,CO
81022,PUEBLO,CO
81022,PUEBLO,CO
81022,PUEBLO,CO
81023,PUEBLO,CO
81024,LAS ANIMAS,CO
81025,PUEBLO,CO
81027,LAS ANIMAS,CO
81029,BACA,CO
81030,OTERO,CO
81033,CROWLEY,CO
81034,CROWLEY,CO
81034,CROWLEY,CO
81036,KIOWA,CO
81036,KIOWA,CO
81036,KIOWA,CO
81038,BENT,CO
81038,BENT,CO
81039,OTERO,CO
81040,HUERFANO,CO
81040,HUERFANO,CO
81041,PROWERS,CO
81041,PROWERS,CO
81041,PROWERS,CO
81043,PROWERS,CO
81044,BENT,CO
81044,BENT,CO
81044,BENT,CO
81045,KIOWA,CO
81046,LAS ANIMAS,CO
81047,PROWERS,CO
81047,PROWERS,CO
81047,PROWERS,CO
81049,LAS ANIMAS,CO
81049,LAS ANIMAS,CO
81050,OTERO,CO
81050,OTERO,CO
81050,OTERO,CO
81050,OTERO,CO
81050,OTERO,CO
81050,OTERO,CO
81050,OTERO,CO
81050,OTERO,CO
81050,OTERO,CO
81050,OTERO,CO
81050,OTERO,CO
81052,PROWERS,CO
81052,PROWERS,CO
81052,PROWERS,CO
81052,PROWERS,CO
81052,PROWERS,CO
81052,PROWERS,CO
81052,PROWERS,CO
81054,BENT,CO
81054,BENT,CO
81054,BENT,CO
81054,BENT,CO
81054,BENT,CO
81054,BENT,CO
81055,HUERFANO,CO
81055,HUERFANO,CO
81055,HUERFANO,CO
81055,HUERFANO,CO
81057,BENT,CO
81057,BENT,CO
81058,OTERO,CO
81059,LAS ANIMAS,CO
81059,LAS ANIMAS,CO
81059,LAS ANIMAS,CO
81059,LAS ANIMAS,CO
81062,CROWLEY,CO
81063,CROWLEY,CO
81063,CROWLEY,CO
81063,CROWLEY,CO
81064,BACA,CO
81064,BACA,CO
81067,OTERO,CO
81067,OTERO,CO
81067,OTERO,CO
81069,PUEBLO,CO
81069,PUEBLO,CO
81069,PUEBLO,CO
81069,PUEBLO,CO
81069,PUEBLO,CO
81071,KIOWA,CO
81071,KIOWA,CO
81071,KIOWA,CO
81073,BACA,CO
81073,BACA,CO
81073,BACA,CO
81076,CROWLEY,CO
81077,OTERO,CO
81081,LAS ANIMAS,CO
81082,LAS ANIMAS,CO
81082,LAS ANIMAS,CO
81082,LAS ANIMAS,CO
81082,LAS ANIMAS,CO
81082,LAS ANIMAS,CO
81082,LAS ANIMAS,CO
81082,LAS ANIMAS,CO
81082,LAS ANIMAS,CO
81082,LAS ANIMAS,CO
81084,BACA,CO
81084,BACA,CO
81087,BACA,CO
81089,HUERFANO,CO
81089,HUERFANO,CO
81089,HUERFANO,CO
81089,HUERFANO,CO
81089,HUERFANO,CO
81089,HUERFANO,CO
81090,BACA,CO
81090,BACA,CO
81091,LAS ANIMAS,CO
81091,LAS ANIMAS,CO
81091,LAS ANIMAS,CO
81091,LAS ANIMAS,CO
81091,LAS ANIMAS,CO
81091,LAS ANIMAS,CO
81091,LAS ANIMAS,CO
81091,LAS ANIMAS,CO
81092,PROWERS,CO
81092,PROWERS,CO
81101,ALAMOSA,CO
81101,ALAMOSA,CO
81101,ALAMOSA,CO
81101,ALAMOSA,CO
81101,ALAMOSA,CO
81101,ALAMOSA,CO
81101,ALAMOSA,CO
81101,ALAMOSA,CO
81101,ALAMOSA,CO
81101,ALAMOSA,CO
81102,ALAMOSA,CO
81102,ALAMOSA,CO
81120,CONEJOS,CO
81120,CONEJOS,CO
81120,CONEJOS,CO
81120,CONEJOS,CO
81120,CONEJOS,CO
81120,CONEJOS,CO
81120,CONEJOS,CO
81120,CONEJOS,CO
81120,CONEJOS,CO
81120,CONEJOS,CO
81120,CONEJOS,CO
81120,CONEJOS,CO
81120,CONEJOS,CO
81120,CONEJOS,CO
81120,CONEJOS,CO
81121,ARCHULETA,CO
81121,ARCHULETA,CO
81121,ARCHULETA,CO
81122,LA PLATA,CO
81122,LA PLATA,CO
81122,LA PLATA,CO
81122,LA PLATA,CO
81123,COSTILLA,CO
81124,CONEJOS,CO
81125,RIO GRANDE,CO
81126,COSTILLA,CO
81128,ARCHULETA,CO
81129,CONEJOS,CO
81130,MINERAL,CO
81130,MINERAL,CO
81131,SAGUACHE,CO
81132,RIO GRANDE,CO
81132,RIO GRANDE,CO
81132,RIO GRANDE,CO
81132,RIO GRANDE,CO
81132,RIO GRANDE,CO
81132,RIO GRANDE,CO
81133,COSTILLA,CO
81133,COSTILLA,CO
81133,COSTILLA,CO
81133,COSTILLA,CO
81133,COSTILLA,CO
81135,RIO GRANDE,CO
81135,RIO GRANDE,CO
81136,ALAMOSA,CO
81137,LA PLATA,CO
81137,LA PLATA,CO
81137,LA PLATA,CO
81137,LA PLATA,CO
81137,LA PLATA,CO
81137,LA PLATA,CO
81137,LA PLATA,CO
81137,LA PLATA,CO
81138,COSTILLA,CO
81140,CONEJOS,CO
81140,CONEJOS,CO
81140,CONEJOS,CO
81140,CONEJOS,CO
81141,CONEJOS,CO
81143,SAGUACHE,CO
81143,SAGUACHE,CO
81144,RIO GRANDE,CO
81144,RIO GRANDE,CO
81144,RIO GRANDE,CO
81144,RIO GRANDE,CO
81146,ALAMOSA,CO
81147,ARCHULETA,CO
81147,ARCHULETA,CO
81147,ARCHULETA,CO
81147,ARCHULETA,CO
81148,CONEJOS,CO
81149,SAGUACHE,CO
81151,CONEJOS,CO
81151,CONEJOS,CO
81151,CONEJOS,CO
81152,COSTILLA,CO
81152,COSTILLA,CO
81152,COSTILLA,CO
81152,COSTILLA,CO
81152,COSTILLA,CO
81152,COSTILLA,CO
81152,COSTILLA,CO
81152,COSTILLA,CO
81152,COSTILLA,CO
81154,RIO GRANDE,CO
81154,RIO GRANDE,CO
81154,RIO GRANDE,CO
81154,RIO GRANDE,CO
81155,SAGUACHE,CO
81155,SAGUACHE,CO
81157,ARCHULETA,CO
81157,ARCHULETA,CO
81201,CHAFFEE,CO
81201,CHAFFEE,CO
81201,CHAFFEE,CO
81201,CHAFFEE,CO
81201,CHAFFEE,CO
81201,CHAFFEE,CO
81201,CHAFFEE,CO
81201,CHAFFEE,CO
81201,CHAFFEE,CO
81210,GUNNISON,CO
81210,GUNNISON,CO
81210,GUNNISON,CO
81210,GUNNISON,CO
81210,GUNNISON,CO
81210,GUNNISON,CO
81211,CHAFFEE,CO
